Delinquency,Revolving Credit Percentage,Capital Reserves,Num Late 60,Debt Ratio,Monthly Income,Num Credit Lines,Num Late Past 90,Num Real Estate,Num Late 90,Num Employees
0,0.390912051,53,0,0.241775822,10000,9,0,1,0,2
0,0.037574032,64,0,0.32358823,10500,11,0,2,0,0
0,0.002057845,59,0,0.458093449,16500,12,0,2,0,2
0,1.023988006,36,0,0.203108059,2766,4,0,0,0,3
0,0.96660334,61,1,0.350549817,3000,4,0,1,0,0
1,0.991863619,50,0,0.223088063,14500,8,0,2,1,0
0,0.503660421,51,0,0.346370889,15416,22,0,3,0,2
0,0.251662472,51,0,0.164435309,18000,12,0,2,0,1
1,0.061301627,40,1,0.854557641,4475,9,0,2,0,4
0,0.49237277,55,0,2.421604278,4674,15,0,5,0,0
0,0.011024724,47,0,0.149713864,5416,8,0,1,0,2
0,0.004299226,41,0,0.200599989,17666,5,0,1,0,1
0,0.049927591,64,0,0.02865844,44000,7,0,1,0,0
0,0.367908806,60,0,0.239208222,13134,10,0,2,0,0
0,0.036316307,62,0,0.026752312,14166,8,0,0,0,1
0,0.515820299,49,4,0.426229508,2500,12,2,0,0,0
0,0.9999999,38,0,0,2320,0,1,0,0,1
0,0.095218817,29,0,0.430523159,3000,8,0,0,0,0
0,0.186173589,38,0,0.381539177,4300,10,0,1,0,2
0,0.174754585,53,0,0.318124583,13500,17,0,2,0,0
0,0.383002073,54,0,0.07700486,6583,7,0,0,0,0
0,0.001523145,63,0,0.020371059,24200,8,0,0,0,0
0,0.279175258,51,0,0.257536737,6600,6,0,2,0,2
0,0.766244045,62,0,2.474221542,1958,11,0,2,0,0
0,0.003842536,50,0,0.375046142,5417,26,0,1,0,3
0,0.228886329,53,0,0.292398796,10300,13,0,1,0,2
0,0.063451296,75,0,0.006898859,23916,5,0,0,0,0
0,0,51,0,0.784071976,3000,5,0,2,0,2
0,0.085742855,31,0,0.007081858,4800,4,0,0,0,1
0,0.038137409,43,0,0.365331364,10833,8,0,1,0,2
0,0.034349672,61,0,0.151150374,10300,5,0,1,0,1
1,0.739109153,29,3,0.094322551,4420,7,0,0,0,0
0,0,47,0,0.402120226,8300,9,0,2,0,2
0,0.050745788,64,0,0.021697511,3133,7,0,0,0,0
0,0.013705153,55,0,0.617232659,5535,10,0,3,0,0
0,0.483301113,40,0,0.303013393,3583,11,0,1,0,2
0,0.273854535,65,0,0.305967793,3166,12,0,0,0,1
0,0.843649285,47,0,0.379033916,4864,5,0,0,0,0
0,0.970195622,38,0,0.295448566,3800,7,0,0,0,3
0,0.188763052,77,0,0.225297962,2600,9,0,0,0,0
0,0.06790706,46,0,0.149103029,10200,6,0,2,0,0
0,0.9999999,90,0,0,4855,3,0,0,0,0
0,0.005032096,89,0,4,0,8,0,0,0,0
0,0.191268028,76,0,0.453091151,6000,11,0,1,0,0
0,0.517724898,28,0,0.218994064,3200,14,1,0,0,2
0,0.786979416,37,0,0.549059244,6430,15,0,1,0,3
0,0.184842599,61,0,0.347390617,13278,15,0,1,0,1
0,0.9999999,61,1,0.000792635,16400,1,0,0,0,0
0,0.001646739,56,0,0.606263982,9833,9,0,3,0,0
0,0.020893321,45,0,0.536554884,4800,13,0,1,0,1
0,0.223601132,60,0,0.053459905,4002,9,0,0,0,0
0,0.132148226,34,0,0.207817337,2583,5,0,0,0,0
0,0,69,0,0.314767209,3500,8,0,3,0,0
0,0.845820525,44,0,0.227446625,8102,4,0,0,0,1
0,0.675084599,46,2,0.420977451,9800,17,0,1,0,3
0,0.9999999,22,0,0,1000,2,0,0,0,0
0,0.040820255,58,0,0.217346589,5833,13,0,2,0,0
1,0.859665382,59,1,0.324544744,8950,9,4,5,1,0
0,0.006408613,27,0,0.057841836,5272,10,0,0,0,0
0,0.452124287,59,0,0.131997854,5590,6,0,0,0,0
0,0.061261589,28,0,0.079912558,4116,5,0,0,0,0
